ensgene,SRR923920,SRR923921,SRR923923,SRR923924,SRR923925,SRR923927,SRR923926,SRR923929,SRR923928,SRR923930,SRR923931,SRR923933,SRR923932
ENSG00000057149,16,16,83,2,382,9,88,86,10,153,746,74,7
ENSG00000057252,1738,986,2870,1300,2344,2111,2157,862,535,1227,1301,657,901
ENSG00000057294,440,515,888,348,392,239,694,832,428,425,644,892,427
ENSG00000057468,40,4,13,10,8,115,2,25,13,24,14,30,15
ENSG00000057593,0,62,28,20,8,13,20,71,39,8,207,18,24
ENSG00000057608,6594,4349,6135,4155,6170,5477,7013,5088,4314,4412,6510,5518,4750
ENSG00000057657,296,450,165,217,161,358,200,311,476,178,296,170,183
ENSG00000057663,542,561,1330,607,1046,691,958,676,485,512,869,821,943
ENSG00000057704,1539,801,646,265,687,879,592,391,389,279,632,341,458
ENSG00000057757,1229,1005,1702,1640,1923,1243,1660,1218,1186,1013,1044,924,1119
ENSG00000057935,1059,1468,1445,1279,1547,1334,1465,1668,1337,1211,1917,1622,1669
ENSG00000058056,533,420,447,497,700,535,428,324,423,330,495,275,465
ENSG00000058063,2595,1427,2252,2392,2249,1758,2001,1108,1036,1072,1497,981,959
ENSG00000058085,53,278,450,1390,424,119,537,827,232,502,850,835,707
ENSG00000058091,588,743,619,377,644,536,456,678,566,506,1028,619,832
ENSG00000058262,15261,11356,16498,15933,11690,8909,15630,7042,5630,5311,9064,5531,5525
ENSG00000058272,5302,5006,5468,4180,7492,6250,5504,8861,8912,7541,9579,11137,11512
ENSG00000058335,18,68,68,192,13,46,65,51,109,81,474,40,28
ENSG00000058404,749,1088,581,681,391,447,536,947,701,101,198,129,188
ENSG00000058453,195,593,345,533,466,256,798,515,381,500,535,1004,881
ENSG00000058600,2247,1948,2188,2624,1718,1298,2556,1548,1431,1369,1650,1306,1227
ENSG00000058668,2285,3983,4929,1626,4117,3973,2716,6619,5317,5666,8608,6046,5974
ENSG00000058673,3014,2878,3926,3000,3232,2972,3119,3276,3473,3466,4625,3605,3371
ENSG00000058729,289,290,370,445,588,348,500,490,332,370,494,497,636
ENSG00000058799,5253,2965,4244,3614,3033,2301,3761,1609,1414,1152,1431,930,1343
ENSG00000058804,483,393,291,463,462,379,421,324,321,302,449,406,369
ENSG00000058866,19,75,92,39,42,83,64,39,82,42,122,111,57
ENSG00000059122,608,2251,1276,1097,1689,929,1727,1729,1828,1316,1605,2066,2529
ENSG00000059145,327,812,571,789,777,452,902,659,479,614,970,1027,910
ENSG00000059377,601,584,831,310,619,528,510,215,284,66,263,86,192
ENSG00000059378,2045,2641,1588,1088,1010,1577,1953,1712,2037,1088,1594,970,1135
ENSG00000059573,3023,2487,2931,7182,2378,1656,3519,2168,1904,1801,2711,1640,1790
ENSG00000059588,1283,1880,1426,1719,2207,1020,1795,1535,1960,851,1271,1282,1329
ENSG00000059691,353,473,428,450,409,472,485,395,428,365,599,396,368
ENSG00000059728,487,530,570,284,507,426,557,407,378,490,729,521,611
ENSG00000059758,813,314,472,296,342,443,322,275,324,400,472,320,338
ENSG00000059769,447,270,447,399,557,409,576,223,214,255,266,217,349
ENSG00000059804,438,759,205,1033,344,289,377,493,1476,278,505,503,1086
ENSG00000059915,83,99,149,150,195,101,202,148,182,123,404,263,251
ENSG00000060069,225,556,651,1030,566,298,738,546,337,348,670,520,622
ENSG00000060138,2561,4168,4756,4609,4742,3347,3722,6837,4272,6071,6167,5701,5351
ENSG00000060140,252,363,564,186,327,90,636,127,123,103,115,154,109
ENSG00000060237,3841,4368,4941,1782,3481,3249,3820,3322,3282,3037,5278,3281,3479
ENSG00000060303,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000060339,2707,2043,2352,3322,4036,2550,3526,2369,3041,2009,1937,3773,3769
ENSG00000060491,963,1847,977,1461,929,944,1309,1257,1197,1171,1743,1474,1195
ENSG00000060558,623,336,658,517,348,297,570,342,230,346,544,474,199
ENSG00000060566,0,0,2,4,0,0,2,0,0,0,11,0,0
ENSG00000060642,738,525,832,626,783,750,835,650,376,596,788,628,574
ENSG00000060656,1270,1395,1367,804,720,938,1523,1929,1044,2592,2367,2340,1949
